lab_name,plan_id,nb_features,days_subscribed,nb_cases_month,nb_units_month,nb_other_settings_month,nb_other_products_month,nb_clients_month,nb_shipping_zipcodes_month,cluster_5,cluster_6
J6B-E168,4,23,2865,389,558,8,0,389,388,1,2
J15C-F335,6,19,1474,24,67,0,0,24,24,1,2
J11B-R943,11,14,515,179,261,137,0,179,179,3,6
J11B-U431,8,21,2036,785,1218,61,0,785,778,5,1
J11L-U261,8,21,1100,393,1281,123,230,393,393,5,1
J17S-U751,6,22,2063,388,523,53,0,388,388,1,2
J4C-W158,4,23,2377,1137,1345,140,0,1137,1095,5,3
J2Z-Z760,7,17,1159,473,483,118,0,473,436,5,1
K22-2256,4,23,1723,1439,1954,1,0,1439,1420,2,3
K13R-A655,6,19,1188,4,18,0,0,4,3,1,2
K6S-A203,4,23,1233,1196,2008,80,1,1196,1195,2,3
K12T-A560,4,23,1581,437,2747,223,8,437,406,5,1
K13L-E191,6,19,1699,54,114,67,0,54,54,1,2
K7C-I673,9,1,553,21,25,4,4,21,20,3,6
K20Y-P451,6,19,1321,345,565,2,5,345,345,1,2
L17L-A668,8,21,1982,357,769,161,0,357,0,1,2
L12A-A349,3,21,635,1439,2620,0,0,1439,1439,2,3
L9N-A135,8,23,1339,226,974,26,0,226,23,1,2
L9E-A737,4,23,1451,427,944,0,2,427,423,1,1
L8D-A113,6,19,1275,100,110,0,0,100,97,1,2
L9B-A291,6,19,1688,177,183,0,0,177,177,1,2
L17S-A717,11,16,299,371,1003,0,58,371,370,3,1
L5N-A118,6,19,1248,180,267,0,0,180,180,1,2
L51-D812,11,14,248,485,754,26,0,485,485,3,1
L12L-E676,6,19,2133,163,383,5,0,163,163,1,2
L15O-E446,1,1,64,63,138,1,25,63,63,3,6
L12L-E922,6,19,1725,128,165,11,0,128,128,1,2
L7Y-I577,10,8,155,250,335,3,91,250,229,3,6
L10E-I607,9,1,141,24,44,0,0,24,15,3,6
L17A-I401,10,8,380,13,16,4,0,13,12,3,6
L12L-I684,6,19,1811,311,480,19,6,311,311,1,2
L17B-O963,10,9,624,236,333,0,0,236,229,3,6
L8F-O842,6,19,1335,49,49,0,0,49,49,1,2
L15S-O655,9,1,340,69,88,0,0,69,69,3,6
L5I-U324,6,20,2344,146,221,43,0,146,142,1,2
L10L-U808,8,21,1234,167,303,14,24,167,166,1,2
L12K-U807,8,17,689,14,24,0,0,14,0,3,6
M13B-A858,7,17,765,157,215,0,3,157,157,1,2
M5O-A536,9,2,157,32,169,6,16,32,32,3,6
M17S-A504,6,19,1566,266,436,50,0,266,266,1,2
M11H-A219,7,16,656,41,101,4,0,41,40,3,6
M7S-A602,6,19,2414,14,14,6,0,14,14,1,2
